Type,Description,Incident #,Location,Agency,Date,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036644,000 BLOCK W KELLS AVE,Newark Police,10/26/22 23:37,,
,DAMAGE/PUBLIC PROPERTY,3922011517,100 BLOCK THE GREEN,University of Delaware Police,10/26/22 21:27,,
,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED,3922011508,200 BLOCK S HAINES ST,University of Delaware Police,10/26/22 19:16,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122036625,100 BLOCK CHESTNUT HILL RD,Newark Police,10/26/22 18:33,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122036580,1000 BLOCK NE SUBURBAN DR,Newark Police,10/26/22 12:12,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122036576,000 BLOCK W VILLAGE RD,Newark Police,10/26/22 11:33,,
,LARCENY/SHOPLIFTING,3122036508,1000 BLOCK SUBURBAN DR,Newark Police,10/25/22 18:01,,
,DAMAGE/PRIVATE PROPERTY,3122036464,200 BLOCK OLD OAK RD,Newark Police,10/25/22 11:39,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122036465,900 BLOCK ALEXANDRIA DR,Newark Police,10/25/22 11:38,,
,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER,3122036442,400 BLOCK OGLETOWN RD,Newark Police,10/25/22 6:52,,
,LARCENY/SHOPLIFTING,,2000 BLOCK OGLETOWN RD,Delaware State Police,10/24/22 16:16,,
,LARCENY/FROM BUILDING,3122036359,100 BLOCK MAIN ST,Newark Police,10/24/22 12:00,,
,FRAUD BY WIRE,3122036355,000 BLOCK THORN LA,Newark Police,10/24/22 11:14,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122036353,200 BLOCK MAIN ST,Newark Police,10/24/22 10:46,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122036317,600 BLOCK N COLLEGE AVE,Newark Police,10/23/22 23:37,,
,STALKING/OTHER ASSAULTS/NON-AGGRAVATED,3122036279,000 BLOCK N HAWTHORNE AVE,Newark Police,10/23/22 15:50,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122036278,200 BLOCK MAIN ST,Newark Police,10/23/22 14:10,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122036268,000 BLOCK CHOATE ST,Newark Police,10/23/22 11:40,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036188,100 BLOCK W PARK AVE,Newark Police,10/22/22 18:13,,
,LARCENY/BICYCLES,3122036180,300 BLOCK MAIN ST,Newark Police,10/22/22 17:23,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036171,000 BLOCK N KERSHAW ST,Newark Police,10/22/22 16:01,,
,LARCENY/FROM BUILDING,3122036177,1400 BLOCK WHARTON DR,Newark Police,10/22/22 15:49,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122036140,ON NORTH COLLEGE AVENUE 27.73 FEET NORTH FROM W. CLEVELAND,Newark Police,10/22/22 15:47,,
,POSSESSION OF AN OPEN CONTAINER,3122036166,000 BLOCK N BENNY ST,Newark Police,10/22/22 15:45,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036164,000 BLOCK N BENNY ST,Newark Police,10/22/22 15:43,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036163,000 BLOCK SW HILLSIDE RD,Newark Police,10/22/22 15:38,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036162,100 BLOCK WILBUR ST,Newark Police,10/22/22 15:30,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036161,000 BLOCK S CHAPEL ST,Newark Police,10/22/22 15:25,,
,LIQUOR/UNDERAGE POSSESSION,3122036156,100 BLOCK W CLEVELAND AVE,Newark Police,10/22/22 14:40,,
,URINATE OR DEFECATE IN PUBLIC,3122036155,100 BLOCK CLEVELAND AVE,Newark Police,10/22/22 14:37,,
,LIQUOR/UNDERAGE POSSESSION,3122036152,ACADEMY S ST & KELLS AVE,Newark Police,10/22/22 14:25,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036150,000 BLOCK N CHAPEL ST,Newark Police,10/22/22 14:17,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036141,100 BLOCK WILBUR ST,Newark Police,10/22/22 13:25,,
,THEFT/FALSE PRETENSE OR PROMISE,3122036125,300 BLOCK WILSON RD,Newark Police,10/22/22 11:58,,
,LARCENY/FROM BUILDING,3122036116,000 BLOCK NE CHURCH ST,Newark Police,10/22/22 11:25,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036127,000 BLOCK N CHAPEL ST,Newark Police,10/22/22 11:09,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036109,000 BLOCK N CHAPEL ST,Newark Police,10/22/22 11:00,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122036102,200 BLOCK MAIN ST,Newark Police,10/22/22 9:50,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922011246,300 BLOCK DAVID HOLLOWELL DR,University of Delaware Police,10/22/22 2:04,,
,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED,3122036083,CENTER N ST & E. MAIN ST,Newark Police,10/22/22 1:56,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036076,200 BLOCK S HAINES ST,Newark Police,10/22/22 0:10,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122036075,E. MAIN ST & W,Newark Police,10/22/22 0:01,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036068,100 BLOCK S WILBUR ST,Newark Police,10/21/22 22:45,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122036061,200 BLOCK PARKE PL,Newark Police,10/21/22 21:05,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122036045,000 BLOCK E MAIN ST,Newark Police,10/21/22 19:07,,
,THEFT/OTHER MOTOR VEHICLE,3122035996,100 BLOCK DALLAM RD,Newark Police,10/21/22 12:14,,
,DAMAGE/PUBLIC PROPERTY,3922011198,200 BLOCK HAINES ST,University of Delaware Police,10/21/22 11:09,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122035987,600 BLOCK LEHIGH RD,Newark Police,10/21/22 10:52,,
,LARCENY/BICYCLES,3122035980,300 BLOCK W E. MAIN ST,Newark Police,10/21/22 9:22,,
,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER,3122035966,800 BLOCK DISTRICT DR,Newark Police,10/21/22 7:04,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122035951,E. MAIN ST & W,Newark Police,10/21/22 2:34,,
,LARCENY/FROM MAIL FROM BUILDING,,100 BLOCK SW MAIN ST,Delaware State Police,10/20/22 17:20,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,,900 BLOCK JANICE DR,Delaware State Police,10/20/22 9:31,,
,LARCENY/SHOPLIFTING,3122035858,200 BLOCK MAIN ST,Newark Police,10/20/22 9:11,,
,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER,3122035854,100 BLOCK PARK PL,Newark Police,10/20/22 8:38,,
,LARCENY/SHOPLIFTING,3122035847,600 BLOCK W OGLETOWN RD,Newark Police,10/20/22 7:53,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122035851,200 BLOCK E. MAIN ST,Newark Police,10/20/22 7:42,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122035838,CHESTNUT HILL RD & S. COLLEGE AVE,Newark Police,10/20/22 5:49,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922011141,100 BLOCK CHRISTIANA DR,University of Delaware Police,10/20/22 3:02,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122035828,800 BLOCK CHRISTINA MILL DR,Newark Police,10/20/22 2:05,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122035822,000 BLOCK EASTON CT,Newark Police,10/19/22 22:22,,
,LARCENY/FROM BUILDING,3922011112,000 BLOCK DELAWARE AVE,University of Delaware Police,10/19/22 17:02,,
,LARCENY/BICYCLES,3122035777,300 BLOCK MAIN ST,Newark Police,10/19/22 13:40,,
,DAMAGE/PUBLIC PROPERTY,3122035753,CHAPEL SE ST & CLEVELAND AVE,Newark Police,10/19/22 10:32,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122035674,1300 BLOCK MARROWS RD,Newark Police,10/18/22 15:15,,
,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER,,900 BLOCK N CHAPEL ST,Delaware State Police,10/18/22 11:00,,
,LARCENY/FROM BUILDING,3122035644,900 BLOCK BARKSDALE RD,Newark Police,10/18/22 8:11,,
,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY,3122035567,400 BLOCK BRIAR LA,Newark Police,10/17/22 13:59,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922010926,400 BLOCK ACADEMY ST,University of Delaware Police,10/16/22 1:34,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122035441,000 BLOCK E KELLS AVE,Newark Police,10/16/22 0:46,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122035442,000 BLOCK CENTER ST,Newark Police,10/16/22 0:35,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122035438,100 BLOCK E MAIN ST,Newark Police,10/15/22 23:58,,
,DISORDERLY CONDUCT/LIQUOR INVOLVEMENT,3122035424,000 BLOCK E E. MAIN ST,Newark Police,10/15/22 22:28,,
,DAMAGE/PUBLIC PROPERTY,3922010913,400 BLOCK N ACADEMY ST,University of Delaware Police,10/15/22 21:06,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3122035415,000 BLOCK N WRIGHTOWNE RD,Newark Police,10/15/22 19:21,,
,LARCENY/SHOPLIFTING,3122035419,100 BLOCK SUBURBAN DR,Newark Police,10/15/22 18:48,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122035405,000 BLOCK N CHOATE ST,Newark Police,10/15/22 18:27,,
,POSSESSION OF AN OPEN CONTAINER,3122035389,000 BLOCK CLEVELAND AVE,Newark Police,10/15/22 17:10,,
,POSSESSION OF AN OPEN CONTAINER,3122035388,100 BLOCK E E. CLEVELAND AVE,Newark Police,10/15/22 17:09,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122035381,300 BLOCK CHAPEL DR,Newark Police,10/15/22 16:17,,
,POSSESSION OF AN OPEN CONTAINER,3122035378,000 BLOCK CLEVELAND AVE,Newark Police,10/15/22 15:30,,
,LIQUOR/UNDERAGE POSSESSION,3122035376,COLLEGE N AVE & CHRISTINA PKY,Newark Police,10/15/22 15:19,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122035319,000 BLOCK W E. PARK PL,Newark Police,10/15/22 2:29,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922010871,300 BLOCK S HAINES ST,University of Delaware Police,10/15/22 1:32,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122035295,ON ODESSA WAY 12.26 FEET EAST FROM PAPER MILL ROAD WITHIN,Newark Police,10/15/22 1:19,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922010872,300 BLOCK N ACADEMY ST,University of Delaware Police,10/15/22 1:13,,
,LARCENY/FROM BUILDING,3122035307,100 BLOCK MAIN ST,Newark Police,10/15/22 0:28,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122035299,000 BLOCK W AMSTEL AVE,Newark Police,10/14/22 23:50,,
,DAMAGE/PRIVATE PROPERTY,3122035249,000 BLOCK SE NEW LONDON RD,Newark Police,10/14/22 17:35,,
,DAMAGE/PUBLIC PROPERTY,3922010838,200 BLOCK HAINES ST,University of Delaware Police,10/14/22 13:37,,
,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY,3122035223,700 BLOCK CHRYSLER AVE,Newark Police,10/14/22 12:55,,
,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED,3122035178,100 BLOCK E MAIN ST,Newark Police,10/14/22 1:23,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122035714,600 BLOCK E OGLETOWN RD,Newark Police,10/14/22 0:57,,
,POSSESSION OF AN OPEN CONTAINER,3122035172,KELLS AVE & MANUEL ST,Newark Police,10/14/22 0:22,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122035168,000 BLOCK N BENNY ST,Newark Police,10/13/22 23:28,,
,LARCENY/FROM ALL OTHER YARDS,3122035159,000 BLOCK MUNRO DR,Newark Police,10/13/22 21:16,,
,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED,3122035049,100 BLOCK MAIN ST,Newark Police,10/12/22 23:47,,
,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED,3122035035,300 BLOCK W TERRACE DR,Newark Police,10/12/22 20:28,,
,LARCENY/FROM MAIL FROM ALL OTHER YARDS,3122035014,200 BLOCK W WHITHERSPOON LA,Newark Police,10/12/22 15:40,,
,LARCENY/SHOPLIFTING,,2000 BLOCK OGLETOWN RD,Delaware State Police,10/12/22 14:45,,
,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY,3122035006,100 BLOCK MADISON DR,Newark Police,10/12/22 13:21,,
,THEFT/FALSE PRETENSE OR PROMISE,3122035002,1000 BLOCK SUBURBAN DR,Newark Police,10/12/22 13:08,,
,DAMAGE/PUBLIC PROPERTY,3922010752,300 BLOCK HAINES ST,University of Delaware Police,10/12/22 11:05,,
,LARCENY/SHOPLIFTING,3122034990,200 BLOCK MAIN ST,Newark Police,10/12/22 10:06,,
,LARCENY/FROM BUILDING,,000 BLOCK W CHESTNUT HILL PLZ,Delaware State Police,10/11/22 16:34,,
,LARCENY/FROM BUILDING,3122034891,600 BLOCK W OGLETOWN RD,Newark Police,10/11/22 13:39,,
,LARCENY/SHOPLIFTING,,E. CHESTNUT HILL W RD & KINGSTON ROAD SOTH,Delaware State Police,10/11/22 13:30,,
,LARCENY/FROM ALL OTHER YARDS,3122034880,000 BLOCK WYNCLIFF LA,Newark Police,10/11/22 11:07,,
,DAMAGE/PRIVATE PROPERTY,3922010624,000 BLOCK E COURTNEY ST,University of Delaware Police,10/9/22 12:44,,
,DAMAGE/PRIVATE PROPERTY,3122034714,100 BLOCK W E. CLEVELAND AVE,Newark Police,10/9/22 9:14,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122034694,ON WESTBOUND CHRISTINA PARKWAY SR4 943.18 FEET EAST FROM CH,Newark Police,10/9/22 3:03,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034701,000 BLOCK E. CLEVELAND AVE,Newark Police,10/9/22 1:59,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122034696,000 BLOCK CLEVELAND AVE,Newark Police,10/9/22 1:19,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034692,000 BLOCK CHAPEL ST,Newark Police,10/9/22 0:23,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034686,100 BLOCK MAIN ST,Newark Police,10/8/22 23:34,,
,LARCENY/BICYCLES,3122034672,300 BLOCK MAIN ST,Newark Police,10/8/22 19:30,,
,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED,3122034669,600 BLOCK OGLETOWN RD,Newark Police,10/8/22 19:03,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3122034665,NEW ST & CHAPEL ST,Newark Police,10/8/22 18:41,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922010585,400 BLOCK ACADEMY ST,University of Delaware Police,10/8/22 18:40,,
,POSSESSION OF AN OPEN CONTAINER,3122034661,CHOATE N ST & E. MAIN ST,Newark Police,10/8/22 18:30,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034663,000 BLOCK CHAPEL ST,Newark Police,10/8/22 18:00,,
,LIQUOR/UNDERAGE POSSESSION,3122034654,CHAPEL ST & NEW ST,Newark Police,10/8/22 17:35,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034655,400 BLOCK N ORCHARD RD,Newark Police,10/8/22 17:30,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034651,000 BLOCK N BENNY ST,Newark Police,10/8/22 17:21,,
,POSSESSION OF AN OPEN CONTAINER,3122034649,000 BLOCK CHOATE ST,Newark Police,10/8/22 17:02,,
,LIQUOR/FREE TEXT,3122034645,CHOATE ST & CHOATE ST,Newark Police,10/8/22 16:48,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034638,200 BLOCK KELLS AVE,Newark Police,10/8/22 16:38,,
,POSSESSION OF AN OPEN CONTAINER,3122034639,000 BLOCK CHOATE ST,Newark Police,10/8/22 16:30,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034635,100 BLOCK PARK PL,Newark Police,10/8/22 16:04,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034631,000 BLOCK E PROSPECT AVE,Newark Police,10/8/22 15:46,,
,LIQUOR/UNDERAGE POSSESSION,3122034628,MANUEL ST & E. PARK PL,Newark Police,10/8/22 15:38,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034630,000 BLOCK NEW LONDON RD,Newark Police,10/8/22 15:28,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034624,100 BLOCK PARK PL,Newark Police,10/8/22 15:14,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034604,200 BLOCK DELAWARE AVE,Newark Police,10/8/22 13:28,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034549,000 BLOCK E E. CLEVELAND,Newark Police,10/8/22 2:29,,
,DAMAGE/PRIVATE PROPERTY,3122034548,000 BLOCK NEW LONDON RD,Newark Police,10/8/22 2:19,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122034534,CHOATE N ST & E. MAIN ST,Newark Police,10/8/22 1:22,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034532,000 BLOCK WILSON ST,Newark Police,10/8/22 1:17,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3122034526,NEW W ST & CHOATE ST,Newark Police,10/8/22 0:52,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122034521,100 BLOCK MAIN ST,Newark Police,10/8/22 0:10,,
,LIQUOR/FREE TEXT,3122034481,200 BLOCK SW MAIN ST,Newark Police,10/7/22 19:15,,
,THEFT/OTHER MOTOR VEHICLE,3122034461,600 BLOCK LEHIGH RD,Newark Police,10/7/22 15:52,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122034449,700 BLOCK W DELAWARE AVE,Newark Police,10/7/22 14:10,,
,DAMAGE/PRIVATE PROPERTY,3122034453,000 BLOCK NEW LONDON RD,Newark Police,10/7/22 12:59,,
,LARCENY/FROM MAIL FROM BUILDING,3122034440,600 BLOCK LEHIGH RD,Newark Police,10/7/22 12:26,,
,VEHICLE THEFT,3122034432,300 BLOCK MAIN ST,Newark Police,10/7/22 10:19,,
,THEFT/OTHER MOTOR VEHICLE,3122034413,200 BLOCK CHRISTINA MILL DR,Newark Police,10/7/22 8:37,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122034392,000 BLOCK E CHAMBERS ST,Newark Police,10/7/22 0:36,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122034390,300 BLOCK MANUEL ST,Newark Police,10/7/22 0:28,,
,BURGLARY/NO FORCED ENTRY/NONRESIDENCE,3122034383,100 BLOCK E E. MAIN ST,Newark Police,10/6/22 22:52,,
,LARCENY/CITY/STATE/TOWN/PROPERTY FROM BUILDING,3922010464,300 BLOCK ACADEMY ST,University of Delaware Police,10/6/22 19:05,,
,LARCENY/SHOPLIFTING,,300 BLOCK CHESTNUT HILL RD,Delaware State Police,10/6/22 16:32,,
,LARCENY/SHOPLIFTING,,300 BLOCK CHESTNUT HILL RD,Delaware State Police,10/6/22 14:29,,
,LARCENY/FROM BUILDING,3922010438,500 BLOCK COLLEGE AVE,University of Delaware Police,10/6/22 12:37,,
,THEFT/FALSE PRETENSE OR PROMISE,3122034236,100 BLOCK KING WILLIAM ST,Newark Police,10/5/22 16:54,,
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122034223,000 BLOCK MAIN ST,Newark Police,10/5/22 14:55,,
,LARCENY/FROM BUILDING,3122034219,100 BLOCK SUBURBAN DR,Newark Police,10/5/22 14:17,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122034205,2000 BLOCK FOUNTAINVIEW CIR,Newark Police,10/5/22 11:45,,
,LARCENY/FROM ALL OTHER YARDS,3122034110,W N ST & COLLEGE AVE,Newark Police,10/4/22 13:38,,
,LARCENY/SHOPLIFTING,3122034102,200 BLOCK GROVE LN,Newark Police,10/4/22 12:50,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3922010305,200 BLOCK CHRISTINA PKY,University of Delaware Police,10/4/22 8:01,,
,LARCENY/FROM ALL OTHER YARDS,3122034036,100 BLOCK NE S. MAIN ST,Newark Police,10/3/22 17:18,,
,LARCENY/BICYCLES,3922010277,000 BLOCK SCHOLAR DR,University of Delaware Police,10/3/22 15:46,,
,LARCENY/BICYCLES,3122034002,300 BLOCK S PAPER MILL RD,Newark Police,10/3/22 10:25,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,,200 BLOCK E CHESTNUT HILL RD,Delaware State Police,10/2/22 22:30,,
,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED,3122033956,300 BLOCK MANUAL ST,Newark Police,10/2/22 20:08,,
,LARCENY/BICYCLES,3122033945,000 BLOCK CLEVELAND AVE,Newark Police,10/2/22 15:37,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033919,000 BLOCK CHOATE ST,Newark Police,10/2/22 4:24,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033912,200 BLOCK W MAIN ST,Newark Police,10/2/22 1:06,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033907,000 BLOCK CHAPEL ST,Newark Police,10/2/22 0:16,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033908,100 BLOCK S HAINES ST,Newark Police,10/2/22 0:11,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122033885,ON WESTBOUND E. MAIN STREET SR273 220.25 FEET WEST FROM FAR,Newark Police,10/2/22 0:06,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033903,000 BLOCK S CALDWELL PL,Newark Police,10/1/22 23:56,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033897,300 BLOCK S APPLE RD,Newark Police,10/1/22 23:14,,
,LIQUOR/UNDERAGE POSSESSION,3122033895,100 BLOCK W CLEVELAND AVE,Newark Police,10/1/22 23:11,,
,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER,3122033891,300 BLOCK E. MAIN ST,Newark Police,10/1/22 22:46,,
,LIQUOR/FREE TEXT,3122033880,200 BLOCK W MAIN ST,Newark Police,10/1/22 20:59,,
,LARCENY/SHOPLIFTING,3122033875,200 BLOCK MAIN ST,Newark Police,10/1/22 20:12,,
,DISORDERLY CONDUCT/LIQUOR INVOLVEMENT,3922010192,200 BLOCK THE GREEN,University of Delaware Police,10/1/22 19:56,,
,POSSESSION OF AN OPEN CONTAINER,3122033867,000 BLOCK CLEVELAND AVE,Newark Police,10/1/22 18:42,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033866,000 BLOCK ANABELL ST,Newark Police,10/1/22 18:37,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033865,100 BLOCK MAIN ST,Newark Police,10/1/22 18:20,,
,URINATE OR DEFECATE IN PUBLIC,3122033863,100 BLOCK W CLEVELAND AVE,Newark Police,10/1/22 18:12,,
,LIQUOR/UNDERAGE POSSESSION,3122033862,CLEVELAND E AVE & E. CLEVELAND,Newark Police,10/1/22 18:00,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033861,700 BLOCK WOLLASTON AVE,Newark Police,10/1/22 17:52,,
,POSSESSION OF AN OPEN CONTAINER,3122033857,000 BLOCK N CHAPEL ST,Newark Police,10/1/22 17:26,,
,POSSESSION OF AN OPEN CONTAINER,3122033851,S. COLLEGE S AVE & E. PARK PL,Newark Police,10/1/22 16:09,,
,POSSESSION OF AN OPEN CONTAINER,3122033847,100 BLOCK MAIN ST,Newark Police,10/1/22 15:09,,
,LIQUOR/UNDERAGE POSSESSION,3122033845,000 BLOCK E KELLS AVE,Newark Police,10/1/22 14:51,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122033797,MADISON DR,Newark Police,10/1/22 3:48,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033784,000 BLOCK W E. PARK PL,Newark Police,10/1/22 1:20,,
,LARCENY/BICYCLES,3122033781,100 BLOCK MAIN ST,Newark Police,10/1/22 1:05,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122033759,ON EASTBOUND DELAWARE AVENUE SR273 531.94 FEET EAST FROM S.,Newark Police,9/30/22 23:46,,
,DAMAGE/PUBLIC PROPERTY,3922010149,100 BLOCK CHRISTIANA DR,University of Delaware Police,9/30/22 23:46,,
,LIQUOR/FREE TEXT,3122033749,100 BLOCK MAIN ST,Newark Police,9/30/22 21:15,,
,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI,3122033747,DELAWARE W AVE & ORCHARD RD,Newark Police,9/30/22 20:58,,
,LIQUOR/FREE TEXT,3122033745,100 BLOCK MAIN ST,Newark Police,9/30/22 20:32,,
,LIQUOR/FREE TEXT,3122033742,100 BLOCK MAIN ST,Newark Police,9/30/22 20:22,,
,LARCENY/FROM BUILDING,3122033746,100 BLOCK E E. MAIN ST,Newark Police,9/30/22 20:19,,
,LIQUOR/FREE TEXT,3122033739,100 BLOCK MAIN ST,Newark Police,9/30/22 20:06,,
,LIQUOR/FREE TEXT,3122033733,200 BLOCK SW MAIN ST,Newark Police,9/30/22 19:24,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122033695,700 BLOCK DELAWARE AVE,Newark Police,9/30/22 14:04,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922010091,000 BLOCK W RAY ST,University of Delaware Police,9/30/22 5:19,,
,DAMAGE/PRIVATE PROPERTY,3122033649,000 BLOCK PARK PL,Newark Police,9/30/22 1:41,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033648,000 BLOCK W W. PARK PL,Newark Police,9/30/22 0:42,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033647,000 BLOCK E E. PARK PL,Newark Police,9/30/22 0:37,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033642,500 BLOCK HAMLET WAY,Newark Police,9/30/22 0:37,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033641,000 BLOCK WRIGHTSTOWNE LN,Newark Police,9/30/22 0:23,,
,LARCENY/CITY/STATE/TOWN/PROPERTY FROM BUILDING,3922010079,300 BLOCK ACADEMY ST,University of Delaware Police,9/30/22 0:20,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033636,100 BLOCK MAIN ST,Newark Police,9/29/22 23:51,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122033630,000 BLOCK W RITTER LA,Newark Police,9/29/22 23:21,,
